id,first_name,last_name,ip_address,flycode,typePassenger,statusFlight
1,Solomon,Elton,368.803,CU,FirstClass,Aterrizado
2,Benedict,Bleeze,8266.846,DE,FirstClass,Aterrizado
3,Illa,Bampforth,6307.001,RU,FirstClass,En Horario
4,Merell,Miner,957.359,SO,FirstClass,Aterrizado
5,Suellen,McQuirter,5904.154,GR,FirstClass,Aterrizado
6,Abbe,Kupec,2346.478,MN,FirstClass,En Horario
7,Corissa,Jansema,1060.965,SE,FirstClass,Aterrizado
8,Jamil,Whiteside,1575.363,FR,FirstClass,Aterrizado
9,Trina,Jarrard,7305.666,PF,FirstClass,En Horario
10,Charisse,Swiers,8931.337,RU,FirstClass,Aterrizado
11,Leopold,Vedeshkin,3998.624,AF,FirstClass,Aterrizado
12,Edyth,Ortas,8174.736,JP,FirstClass,Aterrizado
13,Nicki,Stronach,7934.244,SE,FirstClass,En Horario
14,Wendeline,Falconbridge,7801.237,PK,FirstClass,En Horario
15,Noe,Lyptratt,6791.66,CN,FirstClass,Aterrizado
16,Donal,Flott,792.242,ID,FirstClass,Aterrizado
17,Harcourt,Ceresa,2590.862,PK,FirstClass,Aterrizado
18,Caresse,Skinner,3300.191,GR,FirstClass,En Horario
19,Giavani,Grishanin,5044.433,PT,FirstClass,En Horario
20,Lynette,Tremblot,6856.667,ID,FirstClass,Aterrizado
21,Todd,Swannie,1412.933,GR,FirstClass,Aterrizado
22,Enrichetta,Wallsworth,1236.59,PT,FirstClass,Aterrizado
23,Caleb,Coke,9718.87,ID,FirstClass,En Horario
24,Irvine,Lemasney,840.932,CN,FirstClass,En Horario
25,Carlie,Ferrelli,2694.693,CN,FirstClass,En Horario
26,Doralin,Farnie,8970.418,BI,FirstClass,En Horario
27,Harald,Van der Hoven,8682.574,FR,FirstClass,En Horario
28,Gaelan,Cutford,3070.859,RU,FirstClass,Aterrizado
29,Desdemona,Bartley,5532.175,AR,FirstClass,Aterrizado
30,Charmaine,Brahams,3291.436,CN,FirstClass,Aterrizado
31,Lyndy,Lynskey,7743.626,PH,FirstClass,Aterrizado
32,Cynthea,Courcey,318.487,PH,FirstClass,En Horario
33,Cory,Iannuzzi,5137.338,YE,FirstClass,Aterrizado
34,Janetta,Burhouse,4488.595,CN,FirstClass,Aterrizado
35,Arlee,Denidge,1029.76,CN,FirstClass,Aterrizado
36,Hollyanne,Leal,1914.1,ID,FirstClass,Aterrizado
37,Adara,Boreland,1437.752,TJ,FirstClass,Aterrizado
38,Irita,Leinweber,5791.349,BR,FirstClass,En Horario
39,Billi,Francino,5232.503,RU,FirstClass,En Horario
40,Davita,Odgers,6741.379,VE,FirstClass,En Horario
41,Kassia,Fortie,5624.69,JP,FirstClass,En Horario
42,Penelopa,Benninger,8764.122,CN,ExecutiveClass,Aterrizado
43,Tome,Sunock,5024.445,LU,ExecutiveClass,Aterrizado
44,Jenifer,Coulthart,405.941,GR,ExecutiveClass,Aterrizado
45,Risa,Labrenz,2364.44,SV,FirstClass,En Horario
46,Kelley,Sturton,7114.687,KP,FirstClass,Aterrizado
47,Tomasine,Baxter,8912.878,HT,FirstClass,Aterrizado
48,Gregor,O'Loghlen,8066.033,RU,FirstClass,Aterrizado
49,Darlleen,Aykroyd,6715.309,CA,FirstClass,Aterrizado
50,Patrick,Wyburn,7885.5,KZ,FirstClass,Aterrizado
51,Kalvin,Cossey,9176.856,CZ,FirstClass,Aterrizado
52,Jules,Baudasso,5215.88,MM,FirstClass,Aterrizado
53,Egbert,Skitral,9000.147,PT,FirstClass,En Horario
54,Lucias,MacAfee,5822.28,PL,FirstClass,En Horario
55,Ruthi,Waddams,9035.881,FR,FirstClass,En Horario
56,Duke,Jorissen,1374.437,NO,FirstClass,En Horario
57,Georgiana,Nudd,8080.687,PT,FirstClass,En Horario
58,Collette,Liversedge,8468.684,CN,FirstClass,En Horario
59,Aviva,Arrighetti,8437.276,KE,FirstClass,En Horario
60,Lesly,Brewer,402.341,DO,FirstClass,En Horario
61,Jayne,Sokill,7550.891,CN,FirstClass,En Horario
62,Jonis,Grishin,1749.892,MU,FirstClass,En Horario
63,Vern,Sopp,1583.576,ID,FirstClass,En Horario
64,Leighton,Cadagan,5530.773,SE,FirstClass,En Horario
65,Zorana,Cordaroy,6097.31,MX,FirstClass,En Horario
66,Bertina,Betterton,3769.91,UA,FirstClass,Aterrizado
67,Glynda,Macknish,4799.757,MX,FirstClass,Aterrizado
68,Marcus,Balffye,7085.128,MZ,FirstClass,Aterrizado
69,Abrahan,Toffalo,2572.215,PT,FirstClass,Aterrizado
70,Cindee,Harston,5503.491,TH,FirstClass,Aterrizado
71,Torr,Ducarel,9347.933,ZA,FirstClass,Aterrizado
72,Merwin,Whimpenny,8712.528,SE,FirstClass,Aterrizado
73,Rodd,Grattage,4442.894,CU,FirstClass,Aterrizado
74,Roby,Duckham,911.969,PH,ExecutiveClass,Aterrizado
75,Currie,Frantzeni,1883.44,BR,ExecutiveClass,Aterrizado
76,Elvina,Bartley,1894.237,CN,ExecutiveClass,Aterrizado
77,Dehlia,Sargent,714.322,CN,ExecutiveClass,Aterrizado
78,Cleavland,MacKnocker,9988.058,CN,ExecutiveClass,Aterrizado
79,Nanice,Leacock,2199.611,FR,ExecutiveClass,Aterrizado
80,Marylinda,Fabbri,6011.013,RU,ExecutiveClass,Aterrizado
81,Kenn,Whillock,5522.633,EE,ExecutiveClass,Aterrizado
82,Melisande,Twinbrow,8149.471,CN,ExecutiveClass,Aterrizado
83,Trish,Fretson,13.943,CL,ExecutiveClass,Aterrizado
84,Sibeal,Tancock,2225.239,ID,ExecutiveClass,Aterrizado
85,Maggi,Jorissen,620.519,GR,ExecutiveClass,Aterrizado
86,Judi,Wrout,7176.586,RU,FirstClass,En Horario
87,Staford,Heaker,1283.477,SD,FirstClass,En Horario
88,Gard,Chave,7366.059,ID,ExecutiveClass,En Horario
89,Elliott,Lindell,3636.827,CO,ExecutiveClass,En Horario
90,Adrien,Brithman,4410.806,CN,ExecutiveClass,En Horario
91,Merilee,Vinnick,52.638,RU,ExecutiveClass,En Horario
92,Jany,Barstowk,3663.712,PH,ExecutiveClass,En Horario
93,Othilie,Atwill,6007.873,RU,ExecutiveClass,En Horario
94,Thomasa,Pomphrett,2142.737,SE,ExecutiveClass,En Horario
95,Nikolaos,Khilkov,8116.63,SN,ExecutiveClass,Aterrizado
96,Moyna,Danford,2519.061,HN,ExecutiveClass,Aterrizado
